id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Gold Chains,Verse Kings,hip-hop,confident,0.78,95,0.72,0.85,0.08
12,Heartbreak Hotel,Luna Voss,r&b,sad,0.44,68,0.28,0.50,0.62
13,Porch Swing Summer,Clay Hollow,country,nostalgic,0.38,104,0.74,0.55,0.80
14,Prelude in Rain,Sable Keys,classical,melancholic,0.18,52,0.32,0.20,0.97
15,Wildwood Waltz,Fern & Echo,folk,peaceful,0.30,88,0.68,0.45,0.91
16,Overdrive,Circuit Rush,edm,euphoric,0.96,140,0.88,0.94,0.02
17,Empty Apartment,The Greys,indie rock,sad,0.55,107,0.31,0.58,0.44
18,Sunday Soul,Mocha & Reed,soul,uplifting,0.58,96,0.83,0.70,0.73
